station,yaw,pitch,granted,in_frustum_expected,culled_visible,missing_box,missing_centre,s0,s1,s2,s3,s4,s5
lobby,0,-20,63,30,74,0,0,0.011,0.036,0.090,0.079,0.142,0.171
lobby,30,-20,63,28,66,0,0,0.023,0.199,0.092,0.135,0.127,0.239
lobby,60,-20,63,25,59,0,0,0.204,0.192,0.290,0.150,0.339,0.328
lobby,90,-20,63,23,52,3,0,0.166,0.180,0.320,0.139,0.245,0.290
lobby,120,-20,63,24,45,0,0,0.234,0.237,0.122,0.284,0.143,0.256
lobby,150,-20,63,36,68,0,0,0.273,0.211,0.231,0.095,0.186,0.142
lobby,180,-20,63,38,77,1,0,0.091,0.218,0.140,0.181,0.125,0.097
lobby,210,-20,63,40,82,0,0,0.340,0.169,0.308,0.192,0.119,0.243
lobby,240,-20,63,39,79,0,0,0.080,0.273,0.175,0.298,0.250,0.079
lobby,270,-20,63,29,51,0,0,0.295,0.152,0.283,0.469,0.365,0.171
lobby,300,-20,63,29,52,0,0,0.485,0.255,0.175,0.459,0.467,0.204
lobby,330,-20,63,33,60,0,0,0.274,0.479,0.198,0.322,0.484,0.303
lobby,0,0,63,32,101,0,0,0.006,0.125,0.133,0.010,0.069,0.199
lobby,30,0,63,30,87,0,0,0.004,0.010,0.056,0.007,0.018,0.050
lobby,60,0,63,24,73,1,0,0.006,0.005,0.018,0.085,0.052,0.009
lobby,90,0,63,20,57,0,0,0.209,0.166,0.373,0.148,0.196,0.244
lobby,120,0,63,21,40,1,0,0.271,0.229,0.153,0.219,0.178,0.193
lobby,150,0,63,33,67,0,0,0.340,0.247,0.204,0.186,0.188,0.221
lobby,180,0,63,37,76,0,0,0.103,0.291,0.231,0.104,0.207,0.167
lobby,210,0,63,39,78,1,0,0.317,0.178,0.333,0.306,0.103,0.281
lobby,240,0,63,34,72,0,0,0.187,0.252,0.260,0.097,0.219,0.109
lobby,270,0,63,30,56,0,0,0.420,0.234,0.232,0.281,0.158,0.245
lobby,300,0,63,30,66,0,0,0.604,0.361,0.198,0.415,0.238,0.148
lobby,330,0,63,34,78,0,0,0.025,0.251,0.007,0.024,0.186,0.018
lobby,0,20,63,34,130,0,0,0.003,0.237,0.266,0.008,0.032,0.100
lobby,30,20,63,32,113,0,0,0.003,0.006,0.437,0.006,0.013,0.037
lobby,60,20,63,29,105,0,0,0.001,0.003,0.012,0.019,0.006,0.010
lobby,90,20,63,23,69,3,0,0.000,0.004,0.028,0.000,0.042,0.010
lobby,120,20,63,25,50,0,0,0.363,0.237,0.231,0.233,0.204,0.117
lobby,150,20,63,36,68,0,0,0.227,0.285,0.176,0.293,0.218,0.224
lobby,180,20,63,38,76,1,0,0.262,0.306,0.230,0.124,0.292,0.201
lobby,210,20,63,41,83,0,0,0.289,0.265,0.322,0.329,0.162,0.301
lobby,240,20,63,39,78,0,0,0.003,0.005,0.001,0.008,0.059,0.000
lobby,270,20,63,33,69,0,0,0.652,0.434,0.224,0.261,0.129,0.276
lobby,300,20,63,34,84,0,0,0.383,0.157,0.001,0.104,0.014,0.016
lobby,330,20,64,38,105,0,0,0.009,0.362,0.003,0.028,0.092,0.007
atrium eye,0,-20,64,22,32,2,0,0.241,0.267,0.022,0.142,0.116,0.030
atrium eye,30,-20,63,21,34,0,0,0.222,0.266,0.258,0.257,0.115,0.100
atrium eye,60,-20,64,25,49,0,0,0.064,0.084,0.111,0.096,0.063,0.076
atrium eye,90,-20,64,28,50,2,0,0.064,0.060,0.078,0.079,0.076,0.063
atrium eye,120,-20,64,38,69,0,0,0.164,0.066,0.082,0.152,0.098,0.067
atrium eye,150,-20,64,49,94,0,0,0.026,0.072,0.059,0.107,0.082,0.084
atrium eye,180,-20,64,55,94,3,0,0.014,0.053,0.065,0.215,0.145,0.075
atrium eye,210,-20,64,54,100,0,0,0.028,0.021,0.065,0.038,0.276,0.092
atrium eye,240,-20,64,42,83,0,0,0.065,0.027,0.012,0.030,0.223,0.158
atrium eye,270,-20,63,31,48,1,0,0.053,0.119,0.019,0.013,0.056,0.193
atrium eye,300,-20,64,26,40,0,0,0.077,0.208,0.225,0.078,0.060,0.117
atrium eye,330,-20,64,21,28,0,0,0.326,0.085,0.351,0.145,0.065,0.110
atrium eye,0,0,63,17,35,0,0,0.189,0.270,0.004,0.213,0.221,0.035
atrium eye,30,0,64,18,42,0,0,0.063,0.090,0.116,0.064,0.081,0.099
atrium eye,60,0,64,24,62,1,0,0.061,0.061,0.097,0.060,0.068,0.091
atrium eye,90,0,64,25,59,0,0,0.090,0.060,0.069,0.066,0.059,0.082
atrium eye,120,0,64,35,69,0,0,0.191,0.077,0.061,0.160,0.069,0.057
atrium eye,150,0,64,45,95,1,0,0.039,0.055,0.059,0.077,0.062,0.061
atrium eye,180,0,64,52,94,0,0,0.038,0.048,0.091,0.029,0.080,0.060
atrium eye,210,0,64,53,98,1,0,0.070,0.042,0.061,0.022,0.058,0.100
atrium eye,240,0,64,40,88,0,0,0.141,0.084,0.036,0.044,0.040,0.036
atrium eye,270,0,64,30,52,0,0,0.057,0.186,0.090,0.033,0.066,0.033
atrium eye,300,0,64,25,41,1,0,0.082,0.196,0.321,0.076,0.109,0.107
atrium eye,330,0,64,16,26,0,0,0.285,0.092,0.390,0.278,0.081,0.234
atrium eye,0,20,64,24,52,3,0,0.044,0.086,0.030,0.089,0.116,0.001
atrium eye,30,20,64,24,62,0,0,0.059,0.060,0.097,0.063,0.079,0.103
atrium eye,60,20,64,27,83,0,0,0.059,0.061,0.115,0.055,0.062,0.090
atrium eye,90,20,64,29,82,2,0,0.077,0.069,0.047,0.064,0.058,0.066
atrium eye,120,20,64,39,85,0,0,0.064,0.096,0.060,0.074,0.065,0.058
atrium eye,150,20,64,52,106,0,0,0.067,0.106,0.069,0.015,0.063,0.059
atrium eye,180,20,64,57,96,3,0,0.130,0.126,0.117,0.015,0.045,0.064
atrium eye,210,20,64,57,110,0,0,0.201,0.160,0.063,0.034,0.019,0.040
atrium eye,240,20,64,44,96,0,0,0.238,0.207,0.077,0.068,0.028,0.014
atrium eye,270,20,64,34,64,1,0,0.025,0.258,0.117,0.050,0.059,0.021
atrium eye,300,20,64,29,56,0,0,0.128,0.155,0.194,0.060,0.089,0.135
atrium eye,330,20,64,23,39,0,0,0.131,0.051,0.337,0.232,0.050,0.308
corridor F04,0,-20,58,35,101,0,0,0.010,0.092,0.025,0.066,0.189,0.142
corridor F04,30,-20,58,38,115,0,0,0.017,0.025,0.107,0.036,0.132,0.186
corridor F04,60,-20,58,35,104,0,0,0.022,0.018,0.024,0.017,0.050,0.183
corridor F04,90,-20,58,40,100,1,0,0.023,0.043,0.013,0.008,0.014,0.074
corridor F04,120,-20,58,41,81,0,0,0.002,0.030,0.030,0.001,0.007,0.024
corridor F04,150,-20,58,34,72,0,0,0.000,0.004,0.025,0.003,0.004,0.010
corridor F04,180,-20,58,32,70,0,0,0.010,0.000,0.007,0.027,0.002,0.009
corridor F04,210,-20,58,28,65,0,0,0.010,0.007,0.000,0.062,0.011,0.001
corridor F04,240,-20,58,17,44,0,0,0.011,0.011,0.004,0.093,0.040,0.002
corridor F04,270,-20,58,17,33,0,0,0.137,0.149,0.137,0.236,0.168,0.107
corridor F04,300,-20,58,23,54,0,0,0.052,0.019,0.011,0.186,0.115,0.061
corridor F04,330,-20,58,29,63,0,0,0.089,0.045,0.010,0.193,0.163,0.093
corridor F04,0,0,58,35,93,0,0,0.010,0.257,0.012,0.034,0.148,0.105
corridor F04,30,0,58,37,112,0,0,0.030,0.060,0.229,0.016,0.088,0.134
corridor F04,60,0,58,35,102,0,0,0.190,0.023,0.038,0.024,0.024,0.111
corridor F04,90,0,58,34,80,0,0,0.036,0.124,0.010,0.013,0.023,0.011
corridor F04,120,0,58,39,62,0,0,0.001,0.097,0.087,0.000,0.013,0.028
corridor F04,150,0,58,31,67,0,0,0.000,0.008,0.162,0.000,0.003,0.019
corridor F04,180,0,58,28,62,0,0,0.010,0.001,0.013,0.016,0.000,0.002
corridor F04,210,0,58,24,52,0,0,0.011,0.006,0.000,0.028,0.013,0.000
corridor F04,240,0,58,13,35,0,0,0.175,0.175,0.044,0.164,0.144,0.026
corridor F04,270,0,58,13,28,0,0,0.161,0.184,0.161,0.189,0.168,0.133
corridor F04,300,0,58,21,50,0,0,0.078,0.010,0.011,0.126,0.078,0.037
corridor F04,330,0,58,28,60,0,0,0.194,0.095,0.010,0.135,0.123,0.054
corridor F04,0,20,58,34,81,0,0,0.014,0.305,0.027,0.010,0.086,0.026
corridor F04,30,20,58,35,94,0,0,0.046,0.130,0.311,0.018,0.021,0.095
corridor F04,60,20,57,33,80,0,0,0.156,0.027,0.278,0.041,0.018,0.011
corridor F04,90,20,57,30,66,1,0,0.020,0.066,0.010,0.022,0.061,0.010
corridor F04,120,20,57,23,37,0,0,0.009,0.061,0.097,0.010,0.052,0.062
corridor F04,150,20,57,29,47,0,0,0.004,0.010,0.196,0.000,0.004,0.030
corridor F04,180,20,57,23,43,0,0,0.010,0.004,0.020,0.010,0.000,0.007
corridor F04,210,20,57,12,31,0,0,0.210,0.078,0.007,0.149,0.077,0.002
corridor F04,240,20,57,12,28,0,0,0.210,0.182,0.021,0.151,0.143,0.043
corridor F04,270,20,57,17,25,0,0,0.181,0.238,0.180,0.139,0.152,0.138
corridor F04,300,20,57,23,44,0,0,0.373,0.033,0.011,0.048,0.011,0.011
corridor F04,330,20,57,29,51,0,0,0.218,0.189,0.011,0.080,0.048,0.010
apartment 4B,0,-20,57,16,36,1,0,0.279,0.282,0.220,0.132,0.180,0.244
apartment 4B,30,-20,57,13,32,0,0,0.155,0.271,0.310,0.110,0.151,0.220
apartment 4B,60,-20,57,10,26,0,0,0.193,0.192,0.253,0.074,0.135,0.136
apartment 4B,90,-20,57,12,24,0,0,0.175,0.158,0.211,0.095,0.100,0.126
apartment 4B,120,-20,57,21,37,0,0,0.162,0.153,0.159,0.127,0.084,0.109
apartment 4B,150,-20,57,37,83,0,0,0.079,0.076,0.134,0.094,0.038,0.043
apartment 4B,180,-20,57,47,106,0,0,0.115,0.080,0.091,0.113,0.071,0.023
apartment 4B,210,-20,57,52,127,0,0,0.069,0.113,0.071,0.033,0.098,0.061
