pass	rgb	class	aabb	detail	path
0	24,8,8	MeshInstance3D	27.3x0.0x12.3	mat=M_plaster@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_ceiling_plaster
0	40,8,8	MeshInstance3D	27.3x0.0x10.5	mat=M_plaster_stained@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_ceiling_plaster_stained
0	56,8,8	MeshInstance3D	6.5x0.0x10.0	mat=M_tin_ceiling@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_ceiling_tin_ceiling
0	72,8,8	MeshInstance3D	6.5x0.0x3.5	mat=M_concrete@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_floors_concrete
0	88,8,8	MeshInstance3D	6.5x0.0x10.0	mat=M_terrazzo@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_floors_terrazzo
0	104,8,8	MeshInstance3D	0.7x0.0x0.6	mat=M_bakelite@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_bakelite
0	120,8,8	MeshInstance3D	17.8x1.2x16.3	mat=M_bakelite_black@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_bakelite_black
0	136,8,8	MeshInstance3D	0.8x1.5x0.2	mat=M_book_brown@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_brown
0	152,8,8	MeshInstance3D	0.8x1.5x0.2	mat=M_book_burgundy@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_burgundy
0	168,8,8	MeshInstance3D	0.4x1.6x0.2	mat=M_book_green@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_green
0	184,8,8	MeshInstance3D	0.7x1.6x2.1	mat=M_book_navy@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_navy
0	200,8,8	MeshInstance3D	0.7x1.5x2.1	mat=M_book_ochre@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_ochre
0	216,8,8	MeshInstance3D	0.8x1.5x2.1	mat=M_book_teal@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_book_teal
0	232,8,8	MeshInstance3D	6.8x3.3x5.0	mat=M_brass@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_brass
0	248,8,8	MeshInstance3D	16.8x0.1x16.2	mat=M_brass_bright@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_brass_bright
0	8,24,8	MeshInstance3D	24.8x0.3x16.2	mat=M_brass_dull@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_brass_dull
0	24,24,8	MeshInstance3D	0.1x0.1x0.1	mat=M_ceramic@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_ceramic
0	40,24,8	MeshInstance3D	0.0x0.0x0.2	mat=M_enamel@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_enamel
0	56,24,8	MeshInstance3D	1.3x1.4x0.3	mat=M_floor_oak@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_floor_oak
0	72,24,8	MeshInstance3D	26.9x23.0x17.8	mat=M_metal@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_metal
0	88,24,8	MeshInstance3D	0.1x0.1x0.6	mat=M_milk_glass@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_milk_glass
0	104,24,8	MeshInstance3D	0.2x0.2x0.2	mat=M_plant@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_plant
0	120,24,8	MeshInstance3D	0.0x0.4x0.5	mat=M_screen@0.293,0.313,0.332	StreetIdShot/OrisonRoot/B1/B1_furnish_screen
0	136,24,8	MeshInstance3D	0.3x0.0x0.3	mat=M_soil@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_soil
0	152,24,8	MeshInstance3D	18.9x1.2x16.2	mat=M_soot@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_soot
0	168,24,8	MeshInstance3D	7.0x1.0x3.8	mat=M_terracotta@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_terracotta
0	184,24,8	MeshInstance3D	10.9x0.9x1.9	mat=M_timber@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_timber
0	200,24,8	MeshInstance3D	0.7x0.4x0.5	mat=M_wood_dark@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furnish_wood_dark
0	216,24,8	MeshInstance3D	1.0x1.5x7.7	mat=M_brass@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_brass
0	232,24,8	MeshInstance3D	0.3x0.4x0.3	mat=M_ceramic@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_ceramic
0	248,24,8	MeshInstance3D	24.9x2.3x10.0	mat=M_common_brick@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_common_brick
0	8,40,8	MeshInstance3D	2.9x3.0x2.7	mat=M_concrete@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_concrete
0	24,40,8	MeshInstance3D	0.5x0.5x0.5	mat=M_fabric_cool@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_fabric_cool
0	40,40,8	MeshInstance3D	0.3x0.1x0.6	mat=M_fabric_green@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_fabric_green
0	56,40,8	MeshInstance3D	0.6x0.1x0.4	mat=M_fabric_warm@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_fabric_warm
0	72,40,8	MeshInstance3D	1.6x0.1x1.3	mat=M_floor_oak@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_floor_oak
0	88,40,8	MeshInstance3D	1.1x0.4x3.5	mat=M_indicator_enamel@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_indicator_enamel
0	104,40,8	MeshInstance3D	9.6x0.5x4.2	mat=M_linen@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_linen
0	120,40,8	MeshInstance3D	27.1x2.9x21.5	mat=M_metal@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_metal
0	136,40,8	MeshInstance3D	0.7x0.3x0.0	mat=M_paper@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_paper
0	152,40,8	MeshInstance3D	2.5x0.0x2.5	mat=M_rug_warm@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_rug_warm
0	168,40,8	MeshInstance3D	0.4x0.4x0.4	mat=M_safety_orange@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_safety_orange
0	184,40,8	MeshInstance3D	26.9x0.3x9.9	mat=M_timber@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_timber
0	200,40,8	MeshInstance3D	22.7x2.5x15.8	mat=M_trim@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_trim
0	216,40,8	MeshInstance3D	8.5x0.5x9.4	mat=M_wood_dark@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_furniture_wood_dark
0	232,40,8	MeshInstance3D	27.9x0.2x19.9	mat=M_slab@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_slabs
0	248,40,8	MeshInstance3D	6.3x2.8x2.9	mat=M_stair@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs
0	8,56,8	MeshInstance3D	3.1x3.4x2.9	mat=M_baluster@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_bal
0	24,56,8	MeshInstance3D	6.2x3.0x3.0	mat=M_brass@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_brass
0	40,56,8	MeshInstance3D	6.3x3.2x3.0	mat=M_metal@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_iron
0	56,56,8	MeshInstance3D	6.3x0.2x1.7	mat=M_landing@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_landing
0	72,56,8	MeshInstance3D	6.3x3.8x3.1	mat=M_handrail_wood@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_rail
0	88,56,8	MeshInstance3D	6.3x2.5x2.9	mat=M_stair_treads@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stairs_treads
0	104,56,8	MeshInstance3D	28.1x2.4x20.1	mat=M_limestone@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_stone_trim
0	120,56,8	MeshInstance3D	27.3x2.9x19.3	mat=M_trim@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_trim
0	136,56,8	MeshInstance3D	10.9x1.2x19.3	mat=M_wainscot@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_wainscot_wainscot
0	152,56,8	MeshInstance3D	27.3x2.6x19.3	mat=M_plaster@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_walls
0	168,56,8	MeshInstance3D	28.0x2.8x19.7	mat=M_common_brick@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_walls_cbrick
0	184,56,8	MeshInstance3D	2.3x2.6x2.3	mat=M_concrete@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_walls_conc
0	200,56,8	MeshInstance3D	27.3x2.8x0.5	mat=M_face_brick@1.000,1.000,1.000	StreetIdShot/OrisonRoot/B1/B1_walls_fbrick
0	216,56,8	MultiMeshInstance3D	22.3x0.1x11.7	instances=7;mesh=;mat=StandardMaterial3D@0.720,0.650,0.580;mat=StandardMaterial3D@0.780,0.700,0.520;mat=StandardMaterial3D@0.720,0.280,0.200	StreetIdShot/OrisonRoot/B1/B1_VantryPointBatch
