orison_v2_completeness: exit 2, 0.132s
orison_v2_completeness_selftest: exit 0, 2.474s
orison_spatial_dependencies: exit 0, 2.145s
orison_spatial_dependencies_selftest: exit 0, 2.828s
systemic_situation_authority: exit 0, 1.082s
systemic_situation_authority_selftest: exit 0, 1.448s
data_consumption: exit 1, 1.336s
data_consumption_selftest: exit 0, 2.75s
interaction_prompt_carriers: exit 0, 0.436s
interaction_prompt_carriers_selftest: exit 0, 0.564s
interaction_implementors: exit 0, 0.227s
interaction_implementors_selftest: exit 0, 0.582s
audio_emitters: exit 0, 0.33s
audio_emitters_selftest: exit 0, 2.945s
