orison_v2_completeness: exit 2, 0.128s
orison_v2_completeness_selftest: exit 0, 2.396s
orison_spatial_dependencies: exit 0, 2.148s
orison_spatial_dependencies_selftest: exit 0, 2.787s
systemic_situation_authority: exit 0, 1.087s
systemic_situation_authority_selftest: exit 0, 1.459s
data_consumption: exit 1, 1.322s
data_consumption_selftest: exit 0, 2.729s
interaction_prompt_carriers: exit 0, 0.432s
interaction_prompt_carriers_selftest: exit 0, 0.556s
interaction_implementors: exit 0, 0.228s
interaction_implementors_selftest: exit 0, 0.556s
audio_emitters: exit 0, 0.33s
audio_emitters_selftest: exit 0, 2.859s
