orison_v2_completeness: exit 2, 0.131s
orison_v2_completeness_selftest: exit 0, 2.484s
orison_spatial_dependencies: exit 0, 2.24s
orison_spatial_dependencies_selftest: exit 0, 2.903s
systemic_situation_authority: exit 0, 1.126s
systemic_situation_authority_selftest: exit 0, 1.523s
data_consumption: exit 1, 1.347s
data_consumption_selftest: exit 0, 2.778s
interaction_prompt_carriers: exit 0, 0.438s
interaction_prompt_carriers_selftest: exit 0, 0.581s
interaction_implementors: exit 0, 0.239s
interaction_implementors_selftest: exit 0, 0.582s
audio_emitters: exit 0, 0.334s
audio_emitters_selftest: exit 0, 2.998s
